text,label
"Your account has been suspended. Login here to restore access.",1
"Urgent: verify your password immediately using this link.",1
"Congratulations, you won a free gift card. Click now.",1
"We detected unusual activity. Confirm your details today.",1
"Please review the attached invoice and payment details.",0
"Team meeting moved to 3 PM tomorrow in conference room B.",0
"Here is the project update and the latest report.",0
"Your password was changed successfully.",0
"Claim your refund by visiting this secure page.",1
"Can you send the revised document by Friday?",0
